RetiredOn,WasAt,NowNamed,Reason
2026-09-03,Tab4Nger.py,Tab4Nger.py,"Retired viewer tab.  Its content, the Safeguard formula and the legislative reference, moved into the About panel and the Safeguard tab.  App.py stopped importing it."
2026-09-03,BuildScope3Factors.py,BuildScope3Factors.py,"Built Scope3Factors.csv and Scope3Inputs.yaml from five source registers.  The factor table it produced is replaced by Factors.csv and Items.csv, which are maintained in the Builder rather than regenerated by a script."
2026-09-03,ExportBuilder.py,ExportBuilder.py,Built chart and table images for a manual export package.  Nothing imported it; the published build serves the same purpose.
2026-09-03,ExportPackage.py,ExportPackage.py,Zipped the chart exports for download.  Nothing imported it.
2026-09-03,FabricReportExport.py,FabricReportExport.py,Produced reporting tables for Power BI through a Fabric Lakehouse.  Power BI is no longer used.
2026-09-03,Data/Scope3Factors.csv,Scope3Factors.csv,The distributed flat factor table.  Replaced by Scope3/Factors.csv and Scope3/Items.csv.
2026-09-03,Scope3/EpaNaicsFactorMapping.csv,EpaNaicsFactorMapping.csv,The NAICS class behind each spend factor.  The codes are now carried on the factors themselves in the SourceCode column.
2026-09-03,Scope3/Cat2FactorMap.csv,Cat2FactorMap.csv,"Capital goods intensity per asset class.  The bands are now factors in Factors.csv, with their NAICS codes in SourceCode."
2026-09-03,Scope3/ProductGroups.csv,ProductGroups.csv,"The master product group register.  Superseded by Items.csv, which holds the same mapping and points at factor identities."
2026-09-03,Scope3/ProductGroupsExceptions.csv,ProductGroupsExceptions.csv,Exceptions to the product group register.  Nothing read it; the exclusions are on the items.
2026-09-03,Scope3/Cat1SpendBasedCalculation.csv,Cat1SpendBasedCalculation.csv,A working calculation of the Category 1 spend result.  Nothing read it; the build produces the figure.
2026-09-03,Scope3/Cat4Comparison.csv,Cat4Comparison.csv,A working comparison of Category 4 methods.  Nothing read it.
2026-09-03,DataLoading.log,DataLoading.log,A 1.3 MB run log left in the repository root.
2026-09-03,national-greenhouse-accounts-factors-2026.xlsx,national-greenhouse-accounts-factors-2026.xlsx,Byte identical duplicate of NationalGreenhouseAccountFactors2026.xlsx.
2026-09-04,Data/ApSpendClassification.csv,ApSpendClassification.csv,"Duplicate of Scope3/ApSpendClassification.csv, which the loader reads in preference.  Identical content, but two copies of a register is one too many."
2026-09-04,Data/ApSpendClassification.csv.enc,ApSpendClassification.csv.enc,Encrypted copy of the duplicate above.
2026-09-04,Data/Cat2ProjectScreen.csv,Cat2ProjectScreen.csv,"Duplicate of Scope3/Cat2ProjectScreen.csv, which the loader reads in preference.  The two differ, so this one is stale."
2026-09-04,Data/Cat2ProjectScreen.csv.enc,Cat2ProjectScreen.csv.enc,Encrypted copy of the stale duplicate above.
2026-09-04,Data/Cat2RegisterReview.csv,Cat2RegisterReview.csv,"Duplicate of Scope3/Cat2RegisterReview.csv, which the loader reads in preference.  The two differ, so this one is stale."
2026-09-04,Data/Cat2RegisterReview.csv.enc,Cat2RegisterReview.csv.enc,Encrypted copy of the stale duplicate above.
2026-09-04,Data/Scope3Inputs.yaml,Scope3Inputs.yaml,"Duplicate of Scope3/Scope3Inputs.yaml, which the loader reads in preference.  The two differ, so this one is stale."
